"BasicRum","BasicRum"
"Analytics","Analytics"
"Analytics Configuration","Analytics Configuration"
"General Settings","General Settings"
"Enable Analytics","Enable Analytics"
"Beacon Endpoint URL","Beacon Endpoint URL"
"BasicRUM Site ID","BasicRUM Site ID"
"Enter the URL where analytics data will be sent","Enter the URL where analytics data will be sent"
"Data Privacy / GDPR","Data Privacy / GDPR"
"Require Consent Before Monitoring","Require Consent Before Monitoring"
"Strip Query Strings","Strip Query Strings"
"HTTP Strictness","HTTP Strictness"
"Require HTTPS Beacon URLs (recommended)","Require HTTPS Beacon URLs (recommended)"
"Allow HTTP Beacon URLs for local testing","Allow HTTP Beacon URLs for local testing"
"Enable Wait After Onload","Enable Wait After Onload"
"Wait After Onload (ms)","Wait After Onload (ms)"
"Milliseconds to delay the beacon to capture additional metrics.","Milliseconds to delay the beacon to capture additional metrics."
"Developer","Developer"
"Use Unminified Loaders","Use Unminified Loaders"
"Enable to load non-minified loader scripts for debugging purposes.","Enable to load non-minified loader scripts for debugging purposes."
"Beacon Endpoint URL is required while monitoring is enabled. Monitoring remains inactive.","Beacon Endpoint URL is required while monitoring is enabled. Monitoring remains inactive."
"Enter a valid HTTP or HTTPS Beacon Endpoint URL. Monitoring remains inactive.","Enter a valid HTTP or HTTPS Beacon Endpoint URL. Monitoring remains inactive."
"BasicRUM Site ID is required while monitoring is enabled. Monitoring remains inactive.","BasicRUM Site ID is required while monitoring is enabled. Monitoring remains inactive."
"Enter a valid UUID v4 BasicRUM Site ID. Monitoring remains inactive.","Enter a valid UUID v4 BasicRUM Site ID. Monitoring remains inactive."
"Basicrum monitoring is enabled but inactive. Monitoring scripts are not emitted until both required fields contain valid values.","Basicrum monitoring is enabled but inactive. Monitoring scripts are not emitted until both required fields contain valid values."
